0,1
Robert Dickey (I) (Rep)State House - District 145,GSL145RDIC
Robert Trim (Rep)State House Of Representatives - District 35,GSL035RTRI
Roger Bruce (I) (Dem)State House Dist 61,GSL061DBRU
Ron Stephens (I) (Rep)State House Of Representatives - District 164,GSL164RSTE
Russ Goodman (I) (Rep)State Senate - District 8,GSU08RGOO
Ruwa Romman (Dem)State House Of Representatives - District 97,GSL097DROM
Ryan Cox (Dem)State House Of Representatives - District 111,GSL111DCOX
Ryan Graham (L)Lieutenant Governor,G22LTGLGRA
Saira Draper (Dem)State House Of Representatives - District 90,GSL090DDRA
Sally Harrell (I) (Dem)State Senate - District 40,GSU40DHAR
Sam Park (I) (Dem)State House Of Representatives - District 107,GSL107DPAR
Sam Watson (I) (Rep)State House Of Representatives - District 172,GSL172RWAT
Samuel S. Lenaeus (Rep)State House Dist 55,GSL055RLEN
Sandra Givens Scott (I) (Dem)State House Dist 76,GSL076DSCO
Sandy Donatucci (Rep)State House Of Representatives - District 105,GSL105RDON
Sanford Bishop (I) (Dem)Us House Dist 2,GCON02DBIS
Scott Hilton (Rep)State House Dist 48,GSL048RHIL
Scott Holcomb (I) (Dem)State House Of Representatives - District 81,GSL081DHOL
Segun Adeyina (Dem)State House Of Representatives - District 110,GSL110DADE
Shane Hazel (L)Governor,G22GOVLHAZ
Sharon Cooper (I) (Rep)State House Of Representatives - District 45,GSL045RCOO
Sharon Henderson (I) (Dem)State House Of Representatives - District 113,GSL113DHEN
Sharonda Bell (Dem)State House Of Representatives - District 118,GSL118DBEL
Shaw Blackmon (I) (Rep)State House Of Representatives - District 146,GSL146RBLA
Shawn Still (Rep)State Senate - District 48,GSU48RSTI
Shea Roberts (I) (Dem)State House Dist 52,GSL052DROB
Sheikh Rahman (I) (Dem)State Senate - District 5,GSU05DRAH
Sheila Jones (I) (Dem)State House Dist 60,GSL060DJON
Shelly Echols (Rep)State Senate - District 49,GSU49RECH
Shelly Hutchinson (I) (Dem)State House Of Representatives - District 106,GSL106DHUT
Solomon Adesanya (Dem)State House Of Representatives - District 43,GSL043DADE
Sonya Halpern (I) (Dem)State Senate Dist 39,GSU39DHAL
Soo Hong (Rep)State House Of Representatives - District 103,GSL103RHON
Spencer Frye (I) (Dem)State House Of Representatives - District 122,GSL122DFRY
Stacee Lashone Hill (Dem)State House Dist 22,GSL022DHIL
Stacey Abrams (Dem)Governor,G22GOVDABR
Stacey Evans (I) (Dem)State House Dist 57,GSL057DEVA
Stan Gunter (I) (Rep)State House Dist 8,GSL008RGUN
Steve Gooch (I) (Rep)State Senate - District 51,GSU51RGOO
Steve Tarvin (I) (Rep)State House Dist 2,GSL002RTAR
Steven Meeks (I) (Rep)State House - District 178,GSL178RMEE
Steven Sainz (I) (Rep)State House Of Representatives - District 180,GSL180RSAI
Stoney Mathis (Rep)State House Dist 68,GSL068RMAT
Sunshine Marshall (Dem)State House Dist 17,GSL017DMAR
Sydney Walker (Dem)State House Dist 24,GSL024DWAL
Sylvia L. Bennett (Dem)State Senate - District 32,GSU32DBEN
Tabitha Johnson-Green (Dem)Us House Of Representatives - District 10,GCON10DJOH
Tanya F. Miller (Dem)State House Dist 62,GSL062DMIL
Ted Metz (L)Secretary Of State,G22SOSLMET
Teri Anulewicz (I) (Dem)State House Of Representatives - District 42,GSL042DANU
Terry Cummings (Dem)State House Of Representatives - District 39,GSL039DCUM
"Thomas """"Tommy"""" Smith (Rep)State Senate Dist 34",GSU34RSMI
Tim Fleming (Rep)State House Of Representatives - District 114,GSL114RFLE
Tish Naghise (Dem)State House Dist 68,GSL068DNAG
Todd Jones (I) (Rep)State House Dist 25,GSL025RJON
Tonya P. Anderson (I) (Dem)State Senate - District 43,GSU43DAND
Tracy Taylor (Rep)State House Of Representatives - District 153,GSL153RTAY
Tremaine Teddy Reese (Dem)State House Dist 140,GSL140DREE
Trey Kelley (I) (Rep)State House Dist 16,GSL016RKEL
Trey Rhodes (I) (Rep)State House Of Representatives - District 124,GSL124RRHO
Tyler Harper (Rep)Commissioner Of Agriculture,G22AGRRHAR
Tyler Paul Smith (I) (Rep)State House Dist 18,GSL018RSMI
Val Almonord (Dem)Us House Dist 3,GCON03DALM
Valencia M. Seay (I) (Dem)State Senate Dist 34,GSU34DSEA
Valerie Rodgers (Dem)State Senate - District 25,GSU25DROD
"Vance Smith, Jr. (I) (Rep)State House Dist 138",GSL138RSMI
Vanessa Parker (Dem)State Senate - District 37,GSU37DPAR
Victor E. Anderson (I) (Rep)State House Of Representatives - District 10,GSL010RAND
Viola Davis (I) (Dem)State House Of Representatives - District 87,GSL087DDAV
Wade Herring (Dem)Us House Of Representatives - District 1,GCON01DHER
Wendy  Ahrenkiel (Rep)State House Dist 52,GSL052RAHR
Wesley S. Harding (Rep)State House Of Representatives - District 102,GSL102RHAR
Will Wade (I) (Rep)State House Dist 9,GSL009RWAD
"William """"Bill"""" Werkheiser (I) (Rep)State House - District 157",GSL157RWER
"William """"Will"""" Boddie, Jr (Dem)Commissioner Of Labor",G22LABDBOD
William C. Harris (Rep)State House Of Representatives - District 126,GSL126RHAR
William Harris (Dem)State House Dist 74,GSL074DHAR
William Park Freeman (Rep)State House Of Representatives - District 88,GSL088RFRE
Willie Mae Oyogoa (Dem)State House Dist 44,GSL044DOYO
Yasmin Neal (I) (Dem)State House Dist 79,GSL079DNEA
Yes / SíProposed Constitutional Amendment 1,G22A01YES
Yes / SíProposed Constitutional Amendment 2,G22A02YES
Yes / SíProposed Statewide Referendum 1,G22RFAYES
Yes / SíProposed Statewide Referendum 2,G22RFBYES
Zach Procter (Rep)State House Of Representatives - District 101,GSL101RPRO
